LeftController ; 2024-10-09 13:21:53.917 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
0 ;0 ;5 ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.3234901 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.3034897 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.2834892 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.2634888 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.2434902 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.2234898 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.2034893 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.1834888 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.1634884 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.1434898 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.1234894 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.1034889 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.08348846 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.06348991 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.04348946 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.023489 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.003488541 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
